author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim,is_subjective,sent_score_avg,sent_label_avg,sentiment_score,sentiment_label,is_subjective_post,is_satire_humor_simple,person_view,person_view_encoded
,2025年04月27日 18:37,,1小時,@tommycat.01你懂他在講什麼嗎 什麼八強前面還有七個,False,False,0,1,0,0,2747,183,https://www.threads.net/@yujung.__/post/DI8mos5B_6e,2025年04月27日 18:37,,0,Ch,2025-04-27 18:37:00,Sunday,18,0,False,False,True,0.226462453603745,negative,0.7583032548427582,positive,True,False,mixed,3
marimo_29,2025年04月27日 17:53,,2小時,スコールタイムが三三七拍子に負けとるー,False,False,2,0,0,0,7522,0,https://www.threads.net/@marimo_29/post/DI8hiCqxucC,2025年04月27日 17:53,,0,Ch,2025-04-27 17:53:00,Sunday,17,0,False,False,False,0.870273411273956,positive,0.8796651065349579,positive,False,False,none,4
_5xtvv1,2025年04月27日 19:53,_5xtvv1,14分鐘,你的追蹤列表讓我很自卑,False,False,0,0,0,0,18,1,https://www.threads.net/@_5xtvv1/post/DI8vRn_pn9F,2025年04月27日 19:53,,0,Ch,2025-04-27 19:53:00,Sunday,19,0,False,False,True,0.791716545820236,positive,0.7799849212169647,positive,True,False,mixed,3
_fkmyrubbishlife,2025年04月27日 01:24,,18小時,同人道歉加個「囉」字 e.g.「對唔住囉」 「Sorry囉」 其實仲衰過唔道歉 望周知🗑️,False,False,8,1,0,0,763,0,https://www.threads.net/@_fkmyrubbishlife/post/DI6wZr7TYV2,2025年04月27日 01:24,🗑,1,Ch,2025-04-27 01:24:00,Sunday,1,0,False,False,False,0.75770765542984,positive,0.7886596918106079,positive,False,False,none,4
kenisnice228,2025年04月26日 22:56,,21小時,台灣真好，即使已經是獨裁國家了，還能集會遊行叫總統下台，警察還會幫忙維持交通秩序。 北韓、中共怎麼跟得上台灣，我們最獨裁,False,False,88,7,2,1,1302,142,https://www.threads.net/@kenisnice228/post/DI6fbD3TX7u,2025年04月26日 22:56,,0,Ch,2025-04-26 22:56:00,Saturday,22,0,False,False,True,0.877048537135124,positive,0.838121086359024,positive,True,True,1st,0
1987qwertyu,2025年04月26日 21:50,,22小時,有個顧客，買個金額50以下的東西就算了， 自己誤導人還在惱羞成怒，在那「結婚本來是很美好的事，你不尊重，這是我給朋友的心意」？？？你那輕飄飄的「心意」才真是有夠不尊重朋友的， 晦氣！呸呸呸！,False,False,1,0,0,0,900,102,https://www.threads.net/@1987qwertyu/post/DI6X7uzTcMK,2025年04月26日 21:50,,0,Ch,2025-04-26 21:50:00,Saturday,21,0,True,True,True,0.0768920183181763,negative,0.016576558351516724,negative,True,True,mixed,3
namesickkk,2025年04月27日 14:42,,5小時,之前占卜的说我要单身到27年我23年的时候根本不信。。结果和ex分完手彻底变养胃（心理）2年都没跟任何人聊过暧昧。。全身心投入工作的下场,False,False,1,0,0,0,337,26,https://www.threads.net/@namesickkk/post/DI8LpYOyuzH,2025年04月27日 14:42,,0,Ch,2025-04-27 14:42:00,Sunday,14,0,False,False,True,0.460991670687993,neutral,0.8604846596717834,positive,True,True,1st,0
kikilife1024,2025年04月27日 18:55,,1小時,從高雄到玉里到底開車好還是坐火車好？ 還要帶一隻4歲兒童…..,False,False,3,1,0,0,3147,49,https://www.threads.net/@kikilife1024/post/DI8osV4px0u,2025年04月27日 18:55,,0,Ch,2025-04-27 18:55:00,Sunday,18,0,True,False,True,0.488329917192459,neutral,0.15546914935112,negative,True,False,none,4
0.3_1.9,2025年04月27日 14:13,睡著了,5小時,昨天23:30左右，在板南捷運上有位好心人幫我撿了手機，謝謝你，我沒看清是誰，那時候我真的太累太累了，謝謝你幫我撿起從我手中掉落的手機，很感謝你。 7,False,False,7,0,0,0,330,70,https://www.threads.net/@0.3_1.9/post/DI8IYtXpi7e,2025年04月27日 14:13,,0,Ch,2025-04-27 14:13:00,Sunday,14,0,False,False,True,0.888534545898438,positive,0.8412046730518341,positive,True,True,mixed,3
chloe_0318_520,2025年04月27日 10:06,,10小時,每次要出門時： 哇…我怎麼都沒有衣服可以穿(◐‿◑)� 折衣服時： 我衣服怎麼那麼多？？？我要折到什麼時候？,False,False,16,3,0,1,521,21,https://www.threads.net/@chloe_0318_520/post/DI7sFQcTYpN,2025年04月27日 10:06,,0,Ch,2025-04-27 10:06:00,Sunday,10,0,True,False,True,0.125761926174164,negative,0.08249655365943909,negative,True,False,1st,0
fuyusumile,2025年04月27日 19:31,fuyusumile,38分鐘,タイミ-カスタマー…中身が在宅でどうにもならない。クレーム読んでも理解出来ない。定型分しか送ってこない。突っ込んで返信すると別人が返信してくる。役に立たなすぎる。 時間の無駄だから、監督署と警察から連絡してもらった方が早い。,False,False,0,0,0,0,34,0,https://www.threads.net/@fuyusumile/post/DI8syYezIqs,2025年04月27日 19:31,,0,Ch,2025-04-27 19:31:00,Sunday,19,0,False,False,False,0.810718521475792,positive,0.9587510526180267,positive,False,True,none,4
corybooker,2025年04月27日 10:25,,9小時,"We must stand up and speak out, not because something is left or right, but if it is right or wrong.",False,False,9916,139,536,17,110000,633639,https://www.threads.net/@corybooker/post/DI7uO7oM1ou,2025年04月27日 10:25,,0,en,2025-04-27 10:25:00,Sunday,10,1,False,False,False,0.5,neutral,0.5,neutral,True,False,none,4
lover_y1999,2025年04月27日 18:35,,1小時,休日よりも、早く帰って来れた仕事後の方が家事が捗るのは私だけ?,False,False,3,0,0,0,3908,0,https://www.threads.net/@lover_y1999/post/DI8mToAvmwo,2025年04月27日 18:35,,0,Ch,2025-04-27 18:35:00,Sunday,18,0,True,False,False,0.819563984870911,positive,0.8203220069408417,positive,False,False,none,4
ccc_06_m,2025年04月27日 19:43,,28分鐘,06男想認真拍拖 搵女朋友 一開始識可能會尷尬，但係耐咗其實我都幾幽默,False,False,2,0,0,0,390,1,https://www.threads.net/@ccc_06_m/post/DI8uFw-Tea2,2025年04月27日 19:43,,0,Ch,2025-04-27 19:43:00,Sunday,19,0,False,False,True,0.980120897293091,positive,0.9554182887077332,positive,True,False,1st,0
kennyhowell84,2025年04月27日 18:26,,1小時,My sympathies to the Filipino community in Vancouver,False,False,4,0,1,0,10000,83,https://www.threads.net/@kennyhowell84/post/DI8lWbGxvLu,2025年04月27日 18:26,,0,en,2025-04-27 18:26:00,Sunday,18,1,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
peiyi7329,2025年04月27日 15:15,,4小時,這屆學測統測會考都有考的考生： 多做多得經歷過擬社會互動又有邊界感的52赫茲鯨魚,False,False,4,1,0,0,2505,72,https://www.threads.net/@peiyi7329/post/DI8PdmRPOLA,2025年04月27日 15:15,,0,Ch,2025-04-27 15:15:00,Sunday,15,0,False,False,False,0.984553754329681,positive,0.9735572934150696,positive,False,False,none,4
mandt.batavia,2025年04月27日 17:47,,2小時,Vancouver. Can we please stop the hate.,False,False,7,0,0,1,39000,117,https://www.threads.net/@mandt.batavia/post/DI8g0siISkC,2025年04月27日 17:47,,0,en,2025-04-27 17:47:00,Sunday,17,1,False,False,False,0.5,neutral,0.5,neutral,True,False,1st,0
zxh._10,2025年04月27日 19:23,,48分鐘,能不能不要對我這麼小心意義 我不嫌你煩 我很喜歡你,False,False,1,0,0,0,168,3,https://www.threads.net/@zxh._10/post/DI8r3qAJ8eY,2025年04月27日 19:23,,0,Ch,2025-04-27 19:23:00,Sunday,19,0,False,False,True,0.945731699466705,positive,0.9512324929237366,positive,True,False,mixed,3
george.tsai.3998,2025年04月27日 11:57,george.tsai.3998,8小時,離婚十年了，想交女友，詐騙不要來，賴 georgebobo,False,False,6,1,0,0,2187,14,https://www.threads.net/@george.tsai.3998/post/DI742eGRltB,2025年04月27日 11:57,,0,Ch,2025-04-27 11:57:00,Sunday,11,0,False,False,True,0.153489410877228,negative,0.1412867307662964,negative,True,False,none,4
btjk.tk,2025年04月26日 20:43,,23小時,I’m from Poland 🇵🇱 🇵🇱 🇵🇱 . I support Ukraine 🇺🇦 every inch of me,False,False,925,17,8,1,9847,5323,https://www.threads.net/@btjk.tk/post/DI6QKkmiFVJ,2025年04月26日 20:43,,0,en,2025-04-26 20:43:00,Saturday,20,0,False,False,False,0.5,neutral,0.5,neutral,False,False,1st,0
poohsundaypooh,2025年04月27日 13:41,,6小時,今天聽到一句話，聽完可以深思一下 AI 不會取代你的工作，你會被用AI的人取代…,False,False,0,0,0,0,552,12,https://www.threads.net/@poohsundaypooh/post/DI8EvEhTp44,2025年04月27日 13:41,,0,Ch,2025-04-27 13:41:00,Sunday,13,0,False,False,True,0.993637710809708,positive,0.9906367063522339,positive,True,False,2nd,1
shemo_artjourney,2025年04月27日 17:53,,2小時,"Friends in Vancouver, let us know you're ok. 🙏",False,False,10,0,0,1,29000,63,https://www.threads.net/@shemo_artjourney/post/DI8hkpFBGHP,2025年04月27日 17:53,🙏,1,en,2025-04-27 17:53:00,Sunday,17,1,False,False,False,0.5,neutral,0.5,neutral,True,False,none,4
eun1c3nx,2025年04月27日 14:13,,6小時,幹我的抖音現在都是AI亞洲寶寶在唱大展鴻圖笑死,False,False,1,0,0,0,2656,10,https://www.threads.net/@eun1c3nx/post/DI8IVlmT4tn,2025年04月27日 14:13,,0,Ch,2025-04-27 14:13:00,Sunday,14,0,False,False,True,0.786558210849762,positive,0.2341098189353943,negative,True,True,1st,0
never_won8026,2025年04月27日 03:03,never_won8026,17小時,謝謝小明劍魔、Andy老師、台南Josh讓我知道沒錢才不會被女權盯上 除非有共享財產的癖好 不然呼籲各位千萬不要結婚,False,False,2,0,0,0,651,32,https://www.threads.net/@never_won8026/post/DI67rkXTAGS,2025年04月27日 03:03,,0,Ch,2025-04-27 03:03:00,Sunday,3,0,False,False,True,0.986019670963287,positive,0.9808462560176849,positive,True,False,1st,0
gxlwhj_,2025年04月27日 13:09,,7小時,染頭髮 打耳洞 跟成績不好的玩在一起 不會影響我的成績.,False,False,0,0,0,0,384,0,https://www.threads.net/@gxlwhj_/post/DI8BA4NPQys,2025年04月27日 13:09,,0,Ch,2025-04-27 13:09:00,Sunday,13,0,False,False,True,0.994408369064331,positive,0.9918605089187622,positive,True,False,1st,0
keiranotkeira,2025年04月27日 08:26,,11小時,剛剛看新聞，一則搶客雙方扭打成全武行（ㄏㄤˊ），新聞播報唸全武ㄒㄧㄥˊ，連看稿念都會唸錯，我不是要批評新聞播報的發音，但這個真的太誇張吧,False,False,0,0,0,0,465,2,https://www.threads.net/@keiranotkeira/post/DI7gtxHhpq8,2025年04月27日 08:26,,0,Ch,2025-04-27 08:26:00,Sunday,8,0,False,False,True,0.12302365899086,negative,0.15279099345207214,negative,True,False,1st,0
tony530119,2025年04月27日 18:28,,1小時,請問廣大的脆友，有神人可以告知這首音樂的名稱嗎？ 感謝您,False,False,1,0,0,0,4594,20,https://www.threads.net/@tony530119/post/DI8liOMBVSP,2025年04月27日 18:28,,0,Ch,2025-04-27 18:28:00,Sunday,18,0,True,False,False,0.509120479226112,neutral,0.18293696641921997,negative,False,False,none,4
klosetsai,2025年04月27日 17:41,,2小時,今天的T1是黔驢技窮還是昏招頻出階段啊，打得好醜...,False,False,0,0,0,0,3462,185,https://www.threads.net/@klosetsai/post/DI8gL4zBNKR,2025年04月27日 17:41,,0,Ch,2025-04-27 17:41:00,Sunday,17,0,False,False,True,0.171864122152329,negative,0.16703209280967712,negative,True,False,none,4
nabi_b0b0,2025年04月27日 10:25,,9小時,男友因為過敏所以一直打開副駕前的收納抽衛生紙 我：你幹嘛不叫我幫你拿 這樣你不難拿嗎？ 他：讓你坐副駕不是為了讓你拿衛生紙的 我：(˶‾᷄ ⁻̫ ‾᷅˵),False,False,1,0,0,0,809,11,https://www.threads.net/@nabi_b0b0/post/DI7uO39PHWj,2025年04月27日 10:25,,0,Ch,2025-04-27 10:25:00,Sunday,10,0,True,False,True,0.791349291801453,positive,0.8116071820259094,positive,True,False,mixed,3
fuhcf7821,2025年04月27日 19:41,,33分鐘,找女友秒回 台北 當我女友的好處 1.拒絕速食愛情👉👈 2.專一🥹 3.不會隨便說分手🙂 4. 可以电话📞 5.會陪妳打遊戲🎮 6.可以見面🫢 7.有時情緒不穩定🙃 8.很黏人😳 9.不會冷暴力😙 10.有耐心 生气了我哄你😝 11.佔有慾MAX😅 12.會跟異性保持距離😉 13.滿眼都是妳😉 14.桌布會是妳🥹🥲 15情頭標註都可以👌 16其他異性都退追🫡 我的女友勒..🥲,False,False,12,2,0,0,850,142,https://www.threads.net/@fuhcf7821/post/DI8t5u5hEe0,2025年04月27日 19:41,👉👈🥹🙂📞🎮🫢🙃😳😙😝😅😉😉🥹🥲👌🫡🥲,19,Ch,2025-04-27 19:41:00,Sunday,19,0,False,False,True,0.715621339678764,positive,0.708241810798645,positive,True,True,mixed,3
zooey__77,2025年04月27日 07:10,zooey__77,13小時,創了一個新帳號 第一篇文想告訴被霸凌的你們 千萬要勇敢為自己站出來 以前被霸凌的莫名其妙 現在長大了 真的恨不得把那些霸凌者約出來,False,False,120,19,12,2,2933,8,https://www.threads.net/@zooey__77/post/DI7X7GmzVnh,2025年04月27日 07:10,,0,Ch,2025-04-27 07:10:00,Sunday,7,0,False,False,True,0.990826159715653,positive,0.9932981431484222,positive,True,False,2nd,1
luchuxian886,2025年04月27日 00:50,luchuxian886,19小時,朋友說 不要一直看脆 Meta一直在推那種低能文章讓你看 越看越低能,False,False,1,0,0,0,235,2,https://www.threads.net/@luchuxian886/post/DI6sfNoPIwG,2025年04月27日 00:50,,0,Ch,2025-04-27 00:50:00,Sunday,0,0,False,False,True,0.159148812294006,negative,0.165793776512146,negative,True,False,2nd,1
y.____nn,2025年04月27日 01:04,,19小時,生你氣時關勿擾，但其實超他媽想收到你訊息,False,False,3,0,0,0,0,7,https://www.threads.net/@y.____nn/post/DI6uDQHBm-x,2025年04月27日 01:04,,0,Ch,2025-04-27 01:04:00,Sunday,1,0,False,False,True,0.140800505876541,negative,0.09979242086410522,negative,True,False,mixed,3
deniseptc,2025年04月27日 19:29,,47分鐘,inner battle with myself,False,False,0,0,0,0,74,130,https://www.threads.net/@deniseptc/post/DI8sfxAT4U2,2025年04月27日 19:29,,0,en,2025-04-27 19:29:00,Sunday,19,0,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
xiamilk,2025年04月26日 21:28,嘴ㄆㄧㄚˊ日常,22小時,跟女友聊天 🧑🏻：我好像真的感冒了 鼻塞好嚴重🤧 👩🏻：要不要喝伏ㄌㄜˋ… 🧑🏻：（見獵心喜）好啊 我等等去喝一杯伏熱冒飲 👩🏻：去死一死啦！活該你感冒…,False,False,2,2,0,0,832,95,https://www.threads.net/@xiamilk/post/DI6Va4qyDZS,2025年04月26日 21:28,🧑🏻🤧👩🏻🧑🏻👩🏻,9,Ch,2025-04-26 21:28:00,Saturday,21,0,False,True,True,0.525290351850646,neutral,0.24398436495235987,negative,True,True,mixed,3
viva_glow_slow,2025年04月27日 19:47,viva_glow_slow 스하리1000명프로젝트,29分鐘,"안녕? 막막해서 조급했던 인생 1막을 접고, 느려도 반짝이는 인생 2막을 준비중이야. 그 여정을 응원하고 함께해줄 친구들을 만나고 싶어. 잘 부탁해!",False,False,6,2,3,0,115,2,https://www.threads.net/@viva_glow_slow/post/DI8ukqLzVRU,2025年04月27日 19:47,,0,ko,2025-04-27 19:47:00,Sunday,19,0,True,True,False,0.5,neutral,0.5,neutral,False,False,none,4
ysn_dia,2025年04月27日 03:19,,16小時,那些說“按讚完 隔天你喜歡的人就會向你表白” 很騙。 但我還是按讚了,False,False,515,3,41,16,6242,1,https://www.threads.net/@ysn_dia/post/DI69gFDTobd,2025年04月27日 03:19,,0,Ch,2025-04-27 03:19:00,Sunday,3,0,False,False,True,0.53557276725769,neutral,0.9498602151870728,positive,True,True,mixed,3
mia._.1332,2025年04月27日 12:27,,7小時,完蛋 我的YouTube已經開始出現4個廣告了 我的記憶還停留在2個廣告🫠,False,False,0,0,0,0,635,1,https://www.threads.net/@mia._.1332/post/DI78RpyzHd_,2025年04月27日 12:27,🫠,1,Ch,2025-04-27 12:27:00,Sunday,12,0,False,False,True,0.170929998159409,negative,0.11527431011199951,negative,True,False,1st,0
whale_ccfish,2025年04月27日 17:05,whale_ccfish,3小時,剛剛在圖書館看到一個人，超帥 而且沒有戴口罩確定不是口殺。但是有個問題，我看不出來他是男生還是女生( ꒪-꒪),False,False,6,3,0,0,2296,1,https://www.threads.net/@whale_ccfish/post/DI8cFIUymu1,2025年04月27日 17:05,,0,Ch,2025-04-27 17:05:00,Sunday,17,0,False,False,True,0.90889647603035,positive,0.9502768516540527,positive,True,True,mixed,3
mo_tama5,2025年04月27日 19:45,,31分鐘,お腹が満たされると眠くなるよねぇ,False,False,0,0,0,0,31,1,https://www.threads.net/@mo_tama5/post/DI8uZZ2T3f-,2025年04月27日 19:45,,0,ja,2025-04-27 19:45:00,Sunday,19,0,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
jnalaojbb,2025年04月26日 22:09,,22小時,想問脆上朋友們 有遇過職場霸凌嗎😭有檢舉或申訴過的脆友嗎😭 可以留言告知給些建議嗎😭真的受夠了…,False,False,15,9,0,1,1315,1,https://www.threads.net/@jnalaojbb/post/DI6aA5_yzSf,2025年04月26日 22:09,😭😭😭,3,Ch,2025-04-26 22:09:00,Saturday,22,0,False,False,True,0.281099001765251,negative,0.21148978590965273,negative,True,False,none,4
spirit__d,2025年04月27日 03:39,spirit__d,16小時,以後有誰跟我說抗中保台，我就叫他去天安門喊！,False,False,437,97,0,2,4449,3,https://www.threads.net/@spirit__d/post/DI6_zrVzqOj,2025年04月27日 03:39,,0,Ch,2025-04-27 03:39:00,Sunday,3,0,False,True,True,0.802693158388138,positive,0.7890095412731171,positive,True,True,mixed,3
chuang1109,2025年04月26日 20:55,,23小時,我有點錯亂了，我的總統竟然叫台灣人民去天安門抗議獨裁，根據民進黨的理論兩岸同屬不同的國家，那外國政府獨裁關我什麼事？如果按照這個邏輯，是不是可以解讀成賴清德總統承認兩岸是同屬一個國家呢？,False,False,8,3,0,2,368,28,https://www.threads.net/@chuang1109/post/DI6RkOsPKT0,2025年04月26日 20:55,,0,Ch,2025-04-26 20:55:00,Saturday,20,0,True,False,True,0.914599418640137,positive,0.7718150615692139,positive,True,False,1st,0
qinyi_66,2025年04月27日 19:23,,54分鐘,有没有推荐的蓝调歌曲呀？就比如Aailyah的《Age Ain't Nothing But a Number》那种,False,False,0,0,0,0,41,0,https://www.threads.net/@qinyi_66/post/DI8r3iBT4IC,2025年04月27日 19:23,,0,Ch,2025-04-27 19:23:00,Sunday,19,0,True,False,False,0.847260102629662,positive,0.8871192634105682,positive,False,False,none,4
_dianezapata,2025年04月27日 17:05,,3小時,"Can’t sleep. I need answers why. I am angry. I am devastated for my kababayans, for Vancouver.",False,False,14,2,0,0,6217,117,https://www.threads.net/@_dianezapata/post/DI8cERLu_PR,2025年04月27日 17:05,,0,en,2025-04-27 17:05:00,Sunday,17,0,False,False,False,0.5,neutral,0.5,neutral,False,False,1st,0
9ziney,2025年04月27日 04:41,,15小時,希望整個五月都沒有眼淚,False,False,728,0,277,50,7012,0,https://www.threads.net/@9ziney/post/DI7G8ChhEY7,2025年04月27日 04:41,,0,Ch,2025-04-27 04:41:00,Sunday,4,0,False,False,True,0.970052689313889,positive,0.9533922076225281,positive,True,False,none,4
mk_960723,2025年04月27日 18:48,,1小時,你可以不要喜歡上別人嗎 我會受不了的,False,False,2,0,0,0,192,1,https://www.threads.net/@mk_960723/post/DI8n2lyBWFX,2025年04月27日 18:48,,0,Ch,2025-04-27 18:48:00,Sunday,18,0,False,False,True,0.195707261562347,negative,0.15754011273384094,negative,True,False,mixed,3
kjini.1123,2025年04月27日 19:09,주말,1小時,일요일은 유독 시간이 빨리 간단 말이지.... 마무리는 헬스장! ㅎㅎ,False,False,1,0,0,0,61,4,https://www.threads.net/@kjini.1123/post/DI8qSJpz5c2,2025年04月27日 19:09,,0,ko,2025-04-27 19:09:00,Sunday,19,0,False,True,False,0.5,neutral,0.5,neutral,False,False,none,4
nacl1006,2025年04月27日 11:43,,8小時,若有收到鄭碧芬的交友訊息無大頭貼，請不要理會。謝謝,False,False,2,0,0,0,639,57,https://www.threads.net/@nacl1006/post/DI73MS9zx-j,2025年04月27日 11:43,,0,Ch,2025-04-27 11:43:00,Sunday,11,0,False,False,False,0.515057042241097,neutral,0.11464953422546387,negative,False,True,none,4
ww._1824,2025年04月27日 14:31,ww._1824,5小時,這是我新創的帳號 想在脆上認識一些朋友,False,False,15,1,0,0,637,2,https://www.threads.net/@ww._1824/post/DI8KbmSpv4O,2025年04月27日 14:31,,0,Ch,2025-04-27 14:31:00,Sunday,14,0,False,False,True,0.98870787024498,positive,0.9867672920227051,positive,True,False,1st,0
10000424_ray,2025年04月27日 19:54,10000424_ray,25分鐘,最討厭那種已讀不回 連個表情符號都不用的混帳,False,False,3,0,0,0,97,6,https://www.threads.net/@10000424_ray/post/DI8vaupPqdB,2025年04月27日 19:54,,0,Ch,2025-04-27 19:54:00,Sunday,19,0,False,False,True,0.0366300940513611,negative,0.03372195363044739,negative,True,False,none,4
