author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim,is_subjective,sent_score_avg,sent_label_avg,sentiment_score,sentiment_label,is_subjective_post,is_satire_humor_simple,person_view,person_view_encoded
bibibobixrr,2025年04月28日 08:11,,11小時,好想拥有一颗不假思索的心啊,False,False,6,0,0,0,214,291,https://www.threads.net/@bibibobixrr/post/DI-Dxi5zvY4,2025年04月28日 08:11,,0,Ch,2025-04-28 08:11:00,Monday,8,0,False,False,True,0.986635506153107,positive,0.986635506153107,positive,True,False,none,4
babygirlshari,2025年04月27日 20:41,,1小時,Good morning FB have a sensational Blessed Sunday@highlight,False,False,0,0,0,0,222,25,https://www.threads.net/@babygirlshari/post/DI80v-0TNZ0,2025年04月27日 20:41,,0,en,2025-04-27 20:41:00,Sunday,20,0,False,False,False,0.5,neutral,0.5,neutral,True,False,none,4
dreamy_garnet,2025年04月28日 17:41,,5小時,就是因為會員只能一筆訂單害得大家有票就買 這波操作 絕,False,False,2,0,0,0,656,147,https://www.threads.net/@dreamy_garnet/post/DI_FBeXPFuy,2025年04月28日 17:41,,0,Ch,2025-04-28 17:41:00,Monday,17,0,False,False,False,0.826938360929489,positive,0.826938360929489,positive,False,False,none,4
cheya.ie,2025年04月26日 22:36,,22小時,會讓INFP一直跟你分享事情代表他很喜歡你,False,False,0,0,0,0,565,0,https://www.threads.net/@cheya.ie/post/DI6dMVDSt2t,2025年04月26日 22:36,,0,Ch,2025-04-26 22:36:00,Saturday,22,0,False,False,True,0.936804562807083,positive,0.936804562807083,positive,True,False,mixed,3
ysn_dia,2025年04月27日 03:05,,17小時,我很需要一個不管說了什麼 都推不開的人.,False,False,40,0,16,5,1237,1,https://www.threads.net/@ysn_dia/post/DI678srzouq,2025年04月27日 03:05,,0,Ch,2025-04-27 03:05:00,Sunday,3,0,False,False,True,0.228627562522888,negative,0.228627562522888,negative,True,False,1st,0
karenobilom,2025年04月29日 08:37,,7小時,"I love when people answer ""how are you?"" honestly, bc yeah let's talk about it 🫂",False,False,230,5,37,3,4319,13877,https://www.threads.net/@karenobilom/post/DJArf5tt__h,2025年04月29日 08:37,🫂,1,en,2025-04-29 08:37:00,Tuesday,8,0,True,False,False,0.5,neutral,0.5,neutral,True,False,none,4
xuan._0603,2025年04月28日 12:45,,5小時,演唱會遇到最靠北的事： 錄到最喜歡的part手機跳儲存空間不足。,False,False,11,0,1,0,834,1302,https://www.threads.net/@xuan._0603/post/DI-jD-3vBSa,2025年04月28日 12:45,,0,Ch,2025-04-28 12:45:00,Monday,12,0,False,False,True,0.79048764705658,positive,0.783088833093643,positive,True,True,none,4
namesickkk,2025年04月27日 14:42,,5小時,之前占卜的说我要单身到27年我23年的时候根本不信。。结果和ex分完手彻底变养胃（心理）2年都没跟任何人聊过暧昧。。全身心投入工作的下场,False,False,1,0,0,0,337,26,https://www.threads.net/@namesickkk/post/DI8LpYOyuzH,2025年04月27日 14:42,,0,Ch,2025-04-27 14:42:00,Sunday,14,0,False,False,True,0.460991670687993,neutral,0.860484898090363,positive,True,True,1st,0
caiwen_1025,2025年04月27日 18:13,大清亡了,3小時,一場「與校長有約」的會開完民怨四起 某方面來說也是蠻厲害的👏🏻 只能說真的太炫啦,False,False,2,0,0,0,214,170,https://www.threads.net/@caiwen_1025/post/DI8jzjdzkun,2025年04月27日 18:13,👏🏻,2,Ch,2025-04-27 18:13:00,Sunday,18,0,False,False,True,0.793739891648293,positive,0.793739891648293,positive,True,False,none,4
rosetaylor2233,2025年04月29日 15:37,,28分鐘,I PASSED MY NURSING EXAM !!!😭,False,False,5,0,0,0,621,16949,https://www.threads.net/@rosetaylor2233/post/DJBblgYI2nV,2025年04月29日 15:37,😭,1,en,2025-04-29 15:37:00,Tuesday,15,0,False,True,False,0.485,neutral,0.47,neutral,False,True,none,4
emili_amarlin,2025年04月29日 15:23,This message is for you,26分鐘,You are amazing person 💗💗💗,False,False,12,1,0,0,206,1082,https://www.threads.net/@emili_amarlin/post/DJBZ_DCNjn1,2025年04月29日 15:23,💗💗💗,3,en,2025-04-29 15:23:00,Tuesday,15,0,False,False,False,0.62,neutral,0.62,neutral,True,False,none,4
iooioiooii,2025年04月27日 01:27,,20小時,金冬天在美美的飯撒wink 劉知珉在旁邊玩麥克風 好笨,False,False,727,2,43,57,6014,1297,https://www.threads.net/@iooioiooii/post/DI6whFuS5gk,2025年04月27日 01:27,,0,Ch,2025-04-27 01:27:00,Sunday,1,0,False,False,True,0.825276225805283,positive,0.825276225805283,positive,True,False,none,4
linyulu__,2025年04月27日 20:24,,21小時,哇裴真率的E 82%嗎 🫢🫢🫢,False,False,13,0,0,0,553,42,https://www.threads.net/@linyulu__/post/DI8yzCSy7ch,2025年04月27日 20:24,🫢🫢🫢,3,Ch,2025-04-27 20:24:00,Sunday,20,0,False,False,False,0.832883268594742,positive,0.832883268594742,positive,False,False,none,4
jujubolsai,2025年04月28日 17:34,,5小時,想問大家去台北場係咪即日來回😂,False,False,1,0,0,0,310,82,https://www.threads.net/@jujubolsai/post/DI_EJxFPxqR,2025年04月28日 17:34,😂,1,Ch,2025-04-28 17:34:00,Monday,17,0,False,False,True,0.359147044420242,neutral,0.359147044420242,neutral,True,True,none,4
wow_tix4u,2025年04月28日 20:19,NCT DREAM,3小時,NCT DREAM 仁川 5/24、25 過戶票 內場/看台🈶,False,False,0,2,0,0,657,321,https://www.threads.net/@wow_tix4u/post/DI_XD21SvJ8,2025年04月28日 20:19,🈶,1,Ch,2025-04-28 20:19:00,Monday,20,0,False,False,False,0.917197972536087,positive,0.917197972536087,positive,False,False,none,4
zeusssora,2025年04月27日 13:16,zeusssora,7小時,以前喺條街見到情侶攬攬錫錫會不屑 依家見到會羨慕佢哋🚬,False,False,9,0,0,0,327,1,https://www.threads.net/@zeusssora/post/DI8B4Y6x4Wx,2025年04月27日 13:16,🚬,1,Ch,2025-04-27 13:16:00,Sunday,13,0,False,False,False,0.84567813873291,positive,0.84567813873291,positive,False,False,none,4
harry202504,2025年04月28日 18:33,commented on your photo just now,21小時,Your sense of fashion is great 😸👍,False,False,33,3,0,0,622,1528,https://www.threads.net/@harry202504/post/DI_K4AjMUV4,2025年04月28日 18:33,😸👍,2,en,2025-04-28 18:33:00,Monday,18,0,False,False,False,0.62,neutral,0.62,neutral,True,False,none,4
csy_star.11,2025年04月27日 12:10,拍拖,8小時,很想拍長拖… 有冇人一樣？🥲,False,False,42,14,0,1,1522,22,https://www.threads.net/@csy_star.11/post/DI76V_UTgoU,2025年04月27日 12:10,🥲,1,Ch,2025-04-27 12:10:00,Sunday,12,0,True,False,True,0.527507161796093,neutral,0.672292178273201,positive,True,False,none,4
_leu.0312_,2025年04月27日 19:14,K WONDER CONCERT,23小時,再發一次 如果沒有人換的話要退票了🥲 有人有橙2B-1 14排或相近排數可以換橙2B1-15排嗎🥹 想跟朋友一起坐～～,False,False,1,2,0,0,950,72,https://www.threads.net/@_leu.0312_/post/DI8qyLbJeHO,2025年04月27日 19:14,🥲🥹,2,Ch,2025-04-27 19:14:00,Sunday,19,0,False,False,True,0.27884947180748,negative,0.27884947180748,negative,True,False,none,4
yehlindayeh,2025年04月27日 18:38,,1小時,最近無聊… 有人要分享自己的事情嗎？,False,False,2,0,0,0,144,23,https://www.threads.net/@yehlindayeh/post/DI8mpidTErC,2025年04月27日 18:38,,0,Ch,2025-04-27 18:38:00,Sunday,18,0,True,False,False,0.849780917167664,positive,0.845785796642304,positive,False,False,none,4
ynou5114,2025年04月28日 21:32,,1小時,搞什麼鬼 只有我登不進去嗎 模考根本看不了啊,False,False,0,0,0,0,223,60,https://www.threads.net/@ynou5114/post/DI_fXGzPnuI,2025年04月28日 21:32,,0,Ch,2025-04-28 21:32:00,Monday,21,0,False,False,True,0.0133611261844635,negative,0.0133611261844635,negative,True,False,1st,0
iubaidrajput,2025年04月26日 22:15,,23小時,Relationship with ALLAH is the best.,False,False,53,0,2,0,972,351,https://www.threads.net/@iubaidrajput/post/DI6axIiIFUc,2025年04月26日 22:15,,0,en,2025-04-26 22:15:00,Saturday,22,0,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
hiking_dork,2025年04月29日 02:30,,13小時,Thinking about you Canada on this very important day. 🇨🇦 Thank you for being a great neighbor! Your friend from California :),False,False,8,1,0,0,230,19,https://www.threads.net/@hiking_dork/post/DJABdbUTwN2,2025年04月29日 02:30,,0,en,2025-04-29 02:30:00,Tuesday,2,0,False,True,False,0.5,neutral,0.5,neutral,True,False,2nd,1
jini_annn,2025年04月27日 20:20,NMIXX,22小時,小啾你竟然變成ISFP了喔😮 （但演唱會時這隻小狗看起來還是頗T😂),False,False,26,0,0,0,733,123,https://www.threads.net/@jini_annn/post/DI8yazIhH3e,2025年04月27日 20:20,😮😂,2,Ch,2025-04-27 20:20:00,Sunday,20,0,False,False,True,0.788032200336456,positive,0.788032200336456,positive,True,True,2nd,1
likaa_is,2025年04月27日 18:32,,2小時,"Tinder- истратил своё, стал дном… Еще года 3 назад возможно было найти адекватное общение…сейчас и 10 минут хватает , чтобы понять- «снова удаляться» Где знакомятся сейчас? Кто пробовал быстрые свидания вживую?",False,False,4,5,0,0,417,7,https://www.threads.net/@likaa_is/post/DI8l9uOM2a3,2025年04月27日 18:32,,0,ru,2025-04-27 18:32:00,Sunday,18,0,True,False,False,0.5,neutral,0.5,neutral,False,False,none,4
exal5219,2025年04月26日 23:15,,21小時,為誰提包不重要！重點是要你能提的起！,False,False,1,0,0,0,273,135,https://www.threads.net/@exal5219/post/DI6hoFlh29-,2025年04月26日 23:15,,0,Ch,2025-04-26 23:15:00,Saturday,23,0,False,True,True,0.468915715813637,neutral,0.19526082277298,negative,True,True,2nd,1
eaceeaceeace,2025年04月28日 22:05,,1小時,西班牙的懸疑電影怎麼都那麼頂,False,False,0,0,0,0,958,29,https://www.threads.net/@eaceeaceeace/post/DI_jK6XyGNw,2025年04月28日 22:05,,0,Ch,2025-04-28 22:05:00,Monday,22,0,False,False,False,0.994238704442978,positive,0.994238704442978,positive,False,False,none,4
yiiiiii._.14,2025年04月27日 23:42,,18小時,今天喊應援被前面的恩瑟稱讚了 超開心 第一次應援大成功 我想我這輩子都會愛NMIXX,False,False,10,0,0,0,470,2,https://www.threads.net/@yiiiiii._.14/post/DI9JghOPzJN,2025年04月27日 23:42,,0,Ch,2025-04-27 23:42:00,Sunday,23,0,False,False,True,0.995820581912994,positive,0.995820581912994,positive,True,False,1st,0
chelchel0528,2025年04月27日 10:36,chelchel0528,10小時,分手三年 第一次在離住家很遠的路邊 看見他的車 會有人像我一樣 花三十分鐘等待他的出現嗎？,False,False,5,3,0,0,5490,14,https://www.threads.net/@chelchel0528/post/DI7vioIyRck,2025年04月27日 10:36,,0,Ch,2025-04-27 10:36:00,Sunday,10,0,True,False,True,0.802132904529572,positive,0.798495650291443,positive,True,False,mixed,3
malihabano22,2025年04月27日 01:51,malihabano22,19小時,I think I can use this app to post my weird thoughts,False,False,40,15,1,1,3087,19,https://www.threads.net/@malihabano22/post/DI6zcbCNioJ,2025年04月27日 01:51,,0,en,2025-04-27 01:51:00,Sunday,1,0,False,False,False,0.5,neutral,0.5,neutral,True,False,1st,0
minahilfaisal30,2025年04月27日 14:45,,6小時,"If you can't touch Quran without wazu , Then u should never touch a women without nikkah ✨",False,False,110,40,4,1,4334,110,https://www.threads.net/@minahilfaisal30/post/DI8MB1CMM3F,2025年04月27日 14:45,✨,1,en,2025-04-27 14:45:00,Sunday,14,0,False,False,False,0.56,neutral,0.56,neutral,True,False,2nd,1
_chi_11.8,2025年04月28日 10:44,,7小時,我覺得昨天最扯的是 我看到粉絲自己在整隊 啊工作人員0動作 超級扯,False,False,111,14,0,2,8504,261,https://www.threads.net/@_chi_11.8/post/DI-VTKPBlFC,2025年04月28日 10:44,,0,Ch,2025-04-28 10:44:00,Monday,10,0,False,False,True,0.0342333614826202,negative,0.0342333614826202,negative,True,False,1st,0
aabbccdd_6789,2025年04月27日 18:13,,2小時,不要再全網最快了…🙄,False,False,0,0,0,0,268,0,https://www.threads.net/@aabbccdd_6789/post/DI8jy2RymcG,2025年04月27日 18:13,🙄,1,Ch,2025-04-27 18:13:00,Sunday,18,0,False,False,False,0.751953107714653,positive,0.751953107714653,positive,False,False,none,4
___101.starry,2025年04月28日 00:49,,22小時,推上一樣還是貴的要死的黃牛跟一堆詐騙 認真讓票的我永遠都是錯過 😇,False,False,2,0,0,0,545,197,https://www.threads.net/@___101.starry/post/DI9RNYdPOrn,2025年04月28日 00:49,😇,1,Ch,2025-04-28 00:49:00,Monday,0,0,False,False,True,0.248578279614449,negative,0.248578279614449,negative,True,False,1st,0
season_of_glass.0116,2025年04月28日 00:14,NMIXX NSWER,18小時,中華職棒36年例行賽中信兄弟VS味全龍 2025.04.27（SUN）,False,False,0,9,0,0,0,0,https://www.threads.net/@season_of_glass.0116/post/DI9NNZ-TvUl,2025年04月28日 00:14,,0,Ch,2025-04-28 00:14:00,Monday,0,0,False,False,True,0.946250349283218,positive,0.946250349283218,positive,True,False,none,4
tray,2025年04月29日 04:07,,12小時,i really want to see thunder v clippers and wolves v warriors,False,False,8,1,0,0,1124,64597,https://www.threads.net/@tray/post/DJAMqqgxVHc,2025年04月29日 04:07,,0,en,2025-04-29 04:07:00,Tuesday,4,0,False,False,False,0.5,neutral,0.5,neutral,True,False,none,4
tacoyaki0204,2025年04月28日 17:13,,2小時,好像有vip 了…,False,False,11,3,0,0,426,254,https://www.threads.net/@tacoyaki0204/post/DI_B0SwpOnL,2025年04月28日 17:13,,0,Ch,2025-04-28 17:13:00,Monday,17,0,False,False,True,0.921201139688492,positive,0.921201139688492,positive,True,False,none,4
yvonnemarieday,2025年04月27日 16:33,,4小時,My Vancouver people you Okay? Touch Base Please?,False,False,8,2,0,0,7009,40,https://www.threads.net/@yvonnemarieday/post/DI8YYD6tTLp,2025年04月27日 16:33,,0,en,2025-04-27 16:33:00,Sunday,16,0,True,False,False,0.5,neutral,0.5,neutral,True,False,2nd,1
mikekcohen,2025年04月27日 17:57,,2小時,Over 120 People treated at 4 hospitals for injuries / stress in Vancouver Lapu Lapu Day Raod Rage Murders,False,False,0,0,0,1,5709,97,https://www.threads.net/@mikekcohen/post/DI8h9veN7O0,2025年04月27日 17:57,,0,en,2025-04-27 17:57:00,Sunday,17,0,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
mina_0925__,2025年04月28日 04:32,,13小時,下雨了不送機了畢竟真的很累 全身酸痛還抽筋 反正這個tbz我會見好多次（最好起床別後悔）,False,False,2,0,0,0,948,469,https://www.threads.net/@mina_0925__/post/DI9qtCqzSDM,2025年04月28日 04:32,,0,Ch,2025-04-28 04:32:00,Monday,4,0,False,False,True,0.170156091451645,negative,0.170156091451645,negative,True,False,1st,0
emma.aavaaa,2025年04月28日 22:02,,1小時,Pandora or Spotify?😀🥵🤩,False,False,0,0,0,0,836,121,https://www.threads.net/@emma.aavaaa/post/DI_i2bZs-D9,2025年04月28日 22:02,😀🥵🤩,3,cy,2025-04-28 22:02:00,Monday,22,0,True,False,False,0.51,neutral,0.52,neutral,False,False,none,4
spirit__d,2025年04月27日 03:39,spirit__d,16小時,以後有誰跟我說抗中保台，我就叫他去天安門喊！,False,False,437,97,0,2,4449,3,https://www.threads.net/@spirit__d/post/DI6_zrVzqOj,2025年04月27日 03:39,,0,Ch,2025-04-27 03:39:00,Sunday,3,0,False,True,True,0.802693158388138,positive,0.796668142080307,positive,True,True,mixed,3
g891021gigi,2025年04月28日 00:44,,18小時,李東海：「永遠不是永遠 所以更珍惜每次見面 如果真的有永遠的話 我們可以今年明年後年都不見面」 聽到這已經哭慘⋯,False,False,229,0,15,9,3453,70,https://www.threads.net/@g891021gigi/post/DI9Qm2qv-X2,2025年04月28日 00:44,,0,Ch,2025-04-28 00:44:00,Monday,0,0,False,False,True,0.930172264575958,positive,0.930172264575958,positive,True,False,1st,0
kairos6967,2025年04月29日 15:36,,19分鐘,Mom: “Why are you always on your phone?” Me: “Because the books never reply back.”,False,False,9,0,0,0,128,402,https://www.threads.net/@kairos6967/post/DJBbc92yhzS,2025年04月29日 15:36,,0,en,2025-04-29 15:36:00,Tuesday,15,0,True,False,False,0.5,neutral,0.5,neutral,True,False,2nd,1
0sllj_,2025年04月27日 00:50,,21小時,好想回到90%以上都是韓文歌詞的KPOP,False,False,248,5,10,7,8432,813,https://www.threads.net/@0sllj_/post/DI6sbqwTe-0,2025年04月27日 00:50,,0,Ch,2025-04-27 00:50:00,Sunday,0,0,False,False,True,0.977221816778183,positive,0.977221816778183,positive,True,False,none,4
vrr_pov,2025年04月27日 08:40,,12小時,"to be loved, without any hesitation",False,False,475,4,207,6,14000,362,https://www.threads.net/@vrr_pov/post/DI7iR8HSlS7,2025年04月27日 08:40,,0,en,2025-04-27 08:40:00,Sunday,8,1,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
zooey__77,2025年04月27日 07:10,zooey__77,13小時,創了一個新帳號 第一篇文想告訴被霸凌的你們 千萬要勇敢為自己站出來 以前被霸凌的莫名其妙 現在長大了 真的恨不得把那些霸凌者約出來,False,False,120,19,12,2,2933,8,https://www.threads.net/@zooey__77/post/DI7X7GmzVnh,2025年04月27日 07:10,,0,Ch,2025-04-27 07:10:00,Sunday,7,0,False,False,True,0.990826159715653,positive,0.990826159715653,positive,True,False,2nd,1
smile_more66,2025年04月27日 15:46,NMIXX,6小時,NMIXX 😍😍😍 我要在球場暈倒了～,False,False,698,0,13,3,3863,0,https://www.threads.net/@smile_more66/post/DI8S9wjvafZ,2025年04月27日 15:46,😍😍😍,3,Ch,2025-04-27 15:46:00,Sunday,15,0,False,False,True,0.415052614808083,neutral,0.415052614808083,neutral,True,False,1st,0
_thursday_s_child_,2025年04月27日 04:09,愛情,16小時,我覺得 friend變情侶很好很可以 但bro變情侶？？？ 會鍾意bro嘅係咪一開始就唔係想同佢做bro😔 我對我啲bro真係只有滿滿嘅嫌棄😭,False,False,19,0,1,1,1076,0,https://www.threads.net/@_thursday_s_child_/post/DI7DPKiB8sI,2025年04月27日 04:09,😔😭,2,Ch,2025-04-27 04:09:00,Sunday,4,0,True,False,True,0.577033471465111,neutral,0.237797056436539,negative,True,False,1st,0
scottiebeam,2025年04月29日 01:33,,14小時,Yall be fighting on here … i thought threads was peaceful,False,False,427,76,28,1,10000,59249,https://www.threads.net/@scottiebeam/post/DI_6_RaJXw3,2025年04月29日 01:33,,0,en,2025-04-29 01:33:00,Tuesday,1,1,False,False,False,0.5,neutral,0.5,neutral,False,False,1st,0
lin_0222__,2025年04月28日 19:46,JHOPE,4小時,好想知道他演唱會開到幾點啊啊啊🥲JHOPE,False,False,1,4,0,0,1812,9,https://www.threads.net/@lin_0222__/post/DI_TRh3v-PH,2025年04月28日 19:46,🥲,1,Ch,2025-04-28 19:46:00,Monday,19,0,False,False,True,0.732339259386063,positive,0.732339259386063,positive,True,False,3rd,2
huan_zhen._,2025年04月28日 18:33,,4小時,我的心不在段考 只求媽咪幫我搶到票 看便宜點我要去巡演ㅠㅠ,False,False,0,5,0,0,179,259,https://www.threads.net/@huan_zhen._/post/DI_K5wgplp8,2025年04月28日 18:33,,0,Ch,2025-04-28 18:33:00,Monday,18,0,False,False,True,0.962412625551224,positive,0.962412625551224,positive,True,False,1st,0
cuber_chang98,2025年04月28日 21:18,,1小時,四模出來不滿意的話，會考出來會滿意喔!💪,False,False,472,6,31,9,8048,88,https://www.threads.net/@cuber_chang98/post/DI_dzphTS3z,2025年04月28日 21:18,💪,1,Ch,2025-04-28 21:18:00,Monday,21,0,False,True,False,0.676612231433392,positive,0.878728005886078,positive,False,False,none,4
violetexquisite,2025年04月27日 19:39,,1小時,I wish you liked me back :(,False,False,2,0,0,0,1638,4257,https://www.threads.net/@violetexquisite/post/DI8tuM0Opdd,2025年04月27日 19:39,,0,en,2025-04-27 19:39:00,Sunday,19,0,False,False,False,0.5,neutral,0.5,neutral,True,False,2nd,1
4for.jiwoo13,2025年04月28日 10:23,,7小時,出道恩瑟真的很強,False,False,14,0,0,0,373,36,https://www.threads.net/@4for.jiwoo13/post/DI-S35OS20I,2025年04月28日 10:23,,0,Ch,2025-04-28 10:23:00,Monday,10,0,False,False,True,0.988519221544266,positive,0.988519221544266,positive,True,False,none,4
simip2008,2025年04月29日 01:28,,14小時,I need a friend from canada perth,False,False,13,0,0,0,957,8,https://www.threads.net/@simip2008/post/DI_6YnVyALx,2025年04月29日 01:28,,0,en,2025-04-29 01:28:00,Tuesday,1,0,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
tsna.ig,2025年04月27日 20:42,NMIXX,1小時,中職史上首見！大勢女團「NMIXX」大巨蛋開球全場歡呼 ft. DJB eSIM 謝謝DJB的拍攝邀約～🤩🤩 各位NSWER今天開心嗎🤩@djbintlcnmixx_official,False,False,393,0,11,12,5439,23020,https://www.threads.net/@tsna.ig/post/DI802mHhI7H,2025年04月27日 20:42,🤩🤩🤩,3,Ch,2025-04-27 20:42:00,Sunday,20,0,False,True,False,0.922108257412911,positive,0.915691514015198,positive,True,True,none,4
dcard.tw,2025年04月27日 20:00,,2小時,家裡有監視器 我們有一起養兩隻貓，監視器用來看貓 很久沒開監視器來看，今天心血來潮開一下 意外看到男友帶女生回家...,False,False,44,1,0,0,57000,622381,https://www.threads.net/@dcard.tw/post/DI8wCslM9uU,2025年04月27日 20:00,,0,Ch,2025-04-27 20:00:00,Sunday,20,1,False,False,True,0.989508479833603,positive,0.989508479833603,positive,True,False,1st,0
raku_1258972,2025年04月28日 02:17,,16小時,看完 HIGHLIGHT 前輩的現場，感覺也還好，不信的話 4/28 晚上 6 點請準時收看前輩們回歸，看看實力有沒有傳說中的厲害 👀☝️,False,False,89,1,0,0,2134,144,https://www.threads.net/@raku_1258972/post/DI9bQhOTtpw,2025年04月28日 02:17,👀☝,2,Ch,2025-04-28 02:17:00,Monday,2,0,False,False,True,0.844435995817184,positive,0.844435995817184,positive,True,False,none,4
