author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim
raneemgodah0,2025-04-29T09:09:11.000Z,,5小時,This is so cute,True,True,11000,72,445,265,140000,67013,https://www.threads.net/@raneemgodah0/post/DJBmCNzMJRv,2025年04月30日 06:34,,0,en,2025-04-30 06:34:46.300208+08:00,Wednesday,6,1,False,False
zz_crystals,2025-04-29T04:33:35.000Z,,10小時,《必需新台幣支持了》 前幾天東海來台灣，隨手發了篇動態， 分享自己喝到龜記飲料，覺得超好喝。 龜記沒有急著蹭熱度， 而是在短短幾天內，默默地、認認真真地找到李東海本人，用心談成了廣告合作。🥹 — 有時候，最讓人感動的，是靜靜地做對的事，用真誠，走到對的人面前。 這份低調而真實的努力， 是品牌珍貴的溫度和態度。 此舉粉絲一片叫好👏🏻也覺得自己的偶像被尊重,True,False,2165,34,20,68,30000,1207,https://www.threads.net/@zz_crystals/post/DJBGiMiz6Ih,2025年04月30日 06:35,🥹👏🏻,3,Ch,2025-04-30 06:35:06.189818+08:00,Wednesday,6,1,False,False
pinkgirlylines,2025-04-29T12:28:59.000Z,,2小時,Crying over,True,False,2898,3,583,67,150000,34949,https://www.threads.net/@pinkgirlylines/post/DJB88GpCrrT,2025年04月30日 06:35,,0,en,2025-04-30 06:35:21.045857+08:00,Wednesday,6,1,False,False
tonythecloser_,2025-04-28T19:42:03.000Z,,18小時,You’re not late. You’re not behind. You’re not broken. You’re just getting built in silence. God’s preparing your stage. Keep going. 🙏🏾,False,False,820,30,33,5,8879,74077,https://www.threads.net/@tonythecloser_/post/DJAJtNjP3sQ,2025年04月30日 06:35,🙏🏾,2,en,2025-04-30 06:35:41.974382+08:00,Wednesday,6,0,False,False
anne._.990809,2025-04-29T10:04:50.000Z,,4小時,老師:快會考了還不戒手機 我:我他媽還贏不了那些玩手機的,False,False,112,0,3,4,1335,121,https://www.threads.net/@anne._.990809/post/DJBscYVP5VU,2025年04月30日 06:35,,0,Ch,2025-04-30 06:35:56.717861+08:00,Wednesday,6,0,False,False
evenhimu,2025-04-29T06:54:59.000Z,湖人總冠軍,7小時,按愛心支持湖人1-3逆轉,False,False,3027,14,30,49,39000,118,https://www.threads.net/@evenhimu/post/DJBWtzkBi93,2025年04月30日 06:36,,0,Ch,2025-04-30 06:36:18.414044+08:00,Wednesday,6,1,False,False
midnightmuse172,2025-04-29T12:26:58.000Z,midnightmuse172,2小時,當代年輕人app使用現狀 Google：看病 youtube：吃飯 抖音：睡前故事 電話：拿外賣 簡訊：收驗證碼 臉書：看新聞 Threads:發瘋 甜島：睡前助眠,False,False,9,0,0,0,628,0,https://www.threads.net/@midnightmuse172/post/DJB8tb2zr2b,2025年04月30日 06:36,,0,Ch,2025-04-30 06:36:33.311912+08:00,Wednesday,6,0,False,False
girlzzzclub,2025-04-28T21:31:46.000Z,,17小時,How I look at him:,True,False,8394,45,1605,381,230000,452242,https://www.threads.net/@girlzzzclub/post/DJAWQtmt1N3,2025年04月30日 06:36,,0,en,2025-04-30 06:36:48.063507+08:00,Wednesday,6,1,False,False
moonquake_wang,2025-04-29T09:05:03.000Z,,5小時,很好奇台湾朋友对简中人用词的“界限”。 以前在日本当交换生的时候帮助过一位不太熟的台湾同学，能感觉出她很不喜欢大陆人，但她还是对我说了谢谢。 我本来想说“没关系，大家都是同胞”或“没事，大家都是华人”，但不知道会不会冒犯到她的政治信仰，于是思索再三我终于憋出了一句“不客气，大家都说中文”。 结果她很严肃地说：“我讲的是Taiwanese。”后来再也没理过我。 三年了，每每想起这件事还是会觉得疑惑。,False,False,631,328,6,21,50000,17,https://www.threads.net/@moonquake_wang/post/DJBlmi3xUNG,2025年04月30日 06:37,,0,Ch,2025-04-30 06:37:02.816594+08:00,Wednesday,6,1,False,False
horcrux.y,2025-04-29T09:32:26.000Z,,5小時,有時候蠻喜歡高雄人的精神狀態,True,False,3665,13,94,299,69000,1224,https://www.threads.net/@horcrux.y/post/DJBovDDypjq,2025年04月30日 06:37,,0,Ch,2025-04-30 06:37:19.607790+08:00,Wednesday,6,1,False,False
rezze_rr,2025-04-29T02:39:26.000Z,,11小時,⋆｡‧˚ 🩵ིྀ ˚‧｡⋆,True,False,3430,6,238,78,26000,33721,https://www.threads.net/@rezze_rr/post/DJA5eHeyWK2,2025年04月30日 06:37,🩵,1,unknown,2025-04-30 06:37:36.767687+08:00,Wednesday,6,1,False,False
butter_bb_0914,2025-04-28T04:37:27.000Z,,1天,為什麼男友不強姦我？,False,False,17000,440,550,6655,450000,152,https://www.threads.net/@butter_bb_0914/post/DI-iLpcTrdy,2025年04月30日 06:37,,0,Ch,2025-04-30 06:37:51.643234+08:00,Wednesday,6,1,True,False
shawn___0520,2025-04-28T15:21:50.000Z,,23小時,我是男友本人 我對於自己愛的人 自己最寶貝的人事物 都是用心去溫柔呵護 剛好我家小寶在那方面喜歡的方式是相反的而已 她打的文字寫的比較直接，造成一些人的誤會，所以並沒有不碰她，她也不是什麼隨便的人,False,False,17000,440,550,6655,75000,152,https://www.threads.net/@shawn___0520/post/DI_r7U2yOgT,2025年04月30日 06:38,,0,Ch,2025-04-30 06:38:06.485248+08:00,Wednesday,6,1,False,False
yyu._bb304,2025-04-28T15:07:23.000Z,,23小時,追星 明星認識你❌ 店員認識你⭕️,False,False,307,1,20,10,2918,31,https://www.threads.net/@yyu._bb304/post/DI_qRYuT_XD,2025年04月30日 06:38,❌⭕,2,Ch,2025-04-30 06:38:28.123835+08:00,Wednesday,6,0,False,False
chen_yenchun,2025-04-29T05:34:19.000Z,,9小時,不是在機場就是在前往機場的路上 瘋狂又幸福的十週年 不敢相信我的青春都在這裡 開心的拿到終身飯票check✔️ 我愛🌸🌸✈️,True,False,892,16,0,18,30000,788,https://www.threads.net/@chen_yenchun/post/DJBNfAkS2Jc,2025年04月30日 06:38,✔🌸🌸✈,4,Ch,2025-04-30 06:38:42.861619+08:00,Wednesday,6,1,False,False
jonnet_ud,2025-04-29T05:44:38.000Z,,8小時,First kisses,True,False,2600,6,126,49,90000,10081,https://www.threads.net/@jonnet_ud/post/DJBOqppzl8X,2025年04月30日 06:38,,0,en,2025-04-30 06:38:57.888540+08:00,Wednesday,6,1,False,False
erika_lucas07,2025-04-29T11:13:45.000Z,,3小時,"Good morning to everyone, but especially Canada for nailing the assignment. 🇨🇦",False,False,8624,51,128,26,79000,10009,https://www.threads.net/@erika_lucas07/post/DJB0VLQON5p,2025年04月30日 06:39,,0,en,2025-04-30 06:39:36.198857+08:00,Wednesday,6,1,False,False
chichk1015,2025-04-29T13:18:11.000Z,國際珍奶日,1小時,有人知道非連鎖飲料店的厲害珍奶嗎？,False,False,3,11,0,1,5275,1,https://www.threads.net/@chichk1015/post/DJCCkgmyqG4,2025年04月30日 06:39,,0,Ch,2025-04-30 06:39:51.070887+08:00,Wednesday,6,0,True,False
puffpastrydiary,2025-04-29T05:07:17.000Z,puffpastrydiary,9小時,最近發現臺北的路上常常可以看到有人拿著Trader Joe’s的帆布袋到處走，袋子本身不錯看，只是袋子的曝光率多到我以為Trader Joe’s 來臺灣開分店了😆,False,False,6,0,0,0,1584,1,https://www.threads.net/@puffpastrydiary/post/DJBKZGPx1SX,2025年04月30日 06:40,😆,1,Ch,2025-04-30 06:40:05.951062+08:00,Wednesday,6,0,False,False
nabila_qabrdy,2025-04-28T17:47:14.000Z,,20小時,hey dude wassup,True,True,7259,13,445,116,70000,70275,https://www.threads.net/@nabila_qabrdy/post/DI_8kNKIfVW,2025年04月30日 06:40,,0,en,2025-04-30 06:40:20.916106+08:00,Wednesday,6,1,False,False
benzene.02.06,2025-04-28T20:05:55.000Z,,18小時,🤦‍♂️,True,False,35,0,0,9,1205,29,https://www.threads.net/@benzene.02.06/post/DJAMcBKTRnC,2025年04月30日 06:40,🤦♂,2,empty_after_clean,2025-04-30 06:40:35.726078+08:00,Wednesday,6,0,False,False
lulu_16_oo,2025-04-29T01:49:28.000Z,,12小時,我最喜歡地雷系了 但我又不敢看 幹好混亂救命🆘,False,False,5,3,0,0,223,2,https://www.threads.net/@lulu_16_oo/post/DJAzwJ4S_0H,2025年04月30日 06:40,🆘,1,Ch,2025-04-30 06:40:50.438482+08:00,Wednesday,6,0,False,False
guanjunmi_,2025-04-29T05:22:52.000Z,,9小時,最近很多人在戰什麼叫獨裁 分享一個10幾年前的親身體驗 在那個中國還勉強可以用LINE的年代 （平常不時斷線，5月底6月初就會固定被封死，後來就徹底死透了） 傳訊息是不能直呼領導人名諱的呢,True,False,235,33,14,1,9559,146,https://www.threads.net/@guanjunmi_/post/DJBMLPCv1Q7,2025年04月30日 06:41,,0,Ch,2025-04-30 06:41:05.358979+08:00,Wednesday,6,0,False,False
1012_dai,2025-04-29T12:04:45.000Z,1012_dai,2小時,會考剩19day 我弟@__20071104__四模成績 國文B+ 數學A++ 社會A 英文A+ 自然A 目標：武陵高中 請問各位他該怎麼讀！！,False,False,125,30,4,3,8228,42,https://www.threads.net/@1012_dai/post/DJB6KnOzpiw,2025年04月30日 06:41,,0,Ch,2025-04-30 06:41:28.908696+08:00,Wednesday,6,0,False,True
yn_825_,2025-04-29T10:33:33.000Z,,4小時,同學 妳真的有誇張 妳就已經很邊緣 沒有人想理妳 IG自己追蹤我們 沒有人想回追妳 妳自己也很聰明 還退追 然後還開小帳 每天一直偷看我們限動 要不是妳跟高同居 才沒有人想跟妳出去== 都自己走自己的 又不講話 真的不懂妳跟來幹嘛出門也不帶錢包 是怎樣我們要幫你付？ 沒錢就不要出來好嗎？ 還很委屈說：再也不跟我們出來 以為我們想嗎？ 每次跟高出門 妳都要硬跟 有考慮過我的感受嗎 哈嘍？ 跟妳從國小到高中 同校（國小、高中同班 我還不知道妳那個北爛公主病,False,False,40,0,1,0,1171,79,https://www.threads.net/@yn_825_/post/DJBvupXSzGA,2025年04月30日 06:41,,0,Ch,2025-04-30 06:41:43.860482+08:00,Wednesday,6,0,True,False
min_iii30,2025-04-29T12:58:13.000Z,min_iii30 暈船日記,1小時,剩下三十天畢業 開個小帳紀錄一下高中最後一次暈船 再幼稚一個月 暈船日記,False,False,0,0,0,0,37,0,https://www.threads.net/@min_iii30/post/DJCASPKvzu1,2025年04月30日 06:42,,0,Ch,2025-04-30 06:42:06.970329+08:00,Wednesday,6,0,False,False
arrowhite_w,2025-04-29T06:30:28.000Z,,8小時,怎麼會是香港先😍😍😍,False,False,4,0,0,0,404,93,https://www.threads.net/@arrowhite_w/post/DJBT6QrxkLm,2025年04月30日 06:42,😍😍😍,3,Ch,2025-04-30 06:42:21.912382+08:00,Wednesday,6,0,False,False
hua_8617_,2025-04-28T22:12:41.000Z,,16小時,去信義的時候遇到一個荷蘭人 跟我說 : Hey man You look like the uhhhh SOUTHSIDE SOUTHSIDE 台北台北市 我說 ：蛤 what the fuck? 一秒後 噢原來是大淵的部分,False,False,93,0,0,5,3112,63,https://www.threads.net/@hua_8617_/post/DJAa8b9Tk2E,2025年04月30日 06:42,,0,Ch,2025-04-30 06:42:36.724862+08:00,Wednesday,6,0,True,False
hilohoge,2025-04-29T07:06:17.000Z,hilohoge,7小時,18歲 我們相遇相愛了 20歲 我們結婚了 20歲 我們變成一家四口了 23歲 我們子女3歲了 感謝甜島讓我們在82億人中相遇 我愛你 講就好易 做就好難 但我相信我哋做到,True,False,150,2,0,4,11000,23,https://www.threads.net/@hilohoge/post/DJBYApESzB4,2025年04月30日 06:42,,0,Ch,2025-04-30 06:42:51.557803+08:00,Wednesday,6,1,False,False
bulls_eye_media,2025-04-29T14:21:50.000Z,,21分鐘,I’m dead serious when I say the Oaks care center is there to perpetuate fraud.,False,False,1,0,0,0,214,167,https://www.threads.net/@bulls_eye_media/post/DJCJ2qcRqoW,2025年04月30日 06:43,,0,en,2025-04-30 06:43:16.216412+08:00,Wednesday,6,0,False,False
nn.babymom,2025-04-29T04:56:51.000Z,nn.babymom,9小時,剛剛在麗寶outlet逛街 上廁所出來看到一個女生在補妝擦口紅 她嘴唇的顏色好好看⋯好啾西的那種 我們隔一個洗手台的距離都能看到嘴巴是ㄉㄨㄞˉㄉㄨㄞˉ的那種感覺 真的像廣告上會看到的那種 我偷偷看她好久 最後我還是忍不住鼓起勇氣問她⋯￼ 感謝她非常熱情跟我分享🥹🥹,False,False,4,5,0,0,510,148,https://www.threads.net/@nn.babymom/post/DJBJMk9p_vA,2025年04月30日 06:43,🥹🥹,2,Ch,2025-04-30 06:43:31.117960+08:00,Wednesday,6,0,False,False
_yu._0220,2025-04-28T15:39:06.000Z,女同樓,23小時,她這句嚇到我了,True,False,36,3,0,0,2802,64,https://www.threads.net/@_yu._0220/post/DI_t5rNvGIn,2025年04月30日 06:43,,0,Ch,2025-04-30 06:43:45.952476+08:00,Wednesday,6,0,False,False
balloonupup,2025-04-29T06:00:40.000Z,語言治療師的日常,8小時,一位AS興奮的說他等等下課要去上體育課 我：「哇～這麼熱要注意防曬！」 AS: 「你不知道我很抗曬嗎？！」 我又被AS的語言電到了😆😆😆,False,False,2,0,0,0,329,0,https://www.threads.net/@balloonupup/post/DJBQgBaPEuJ,2025年04月30日 06:44,😆😆😆,3,Ch,2025-04-30 06:44:00.595240+08:00,Wednesday,6,0,True,True
lin_isgood,2025-04-29T13:48:19.000Z,,55分鐘,在打這篇鬼故事之前 我必須先說 婚姻並不是靠一個人維持 而是要兩個人相互扶持才能一起走下去 唯有如此才能長久❤️‍🩹,False,False,0,0,0,0,16,0,https://www.threads.net/@lin_isgood/post/DJCGBRGScpZ,2025年04月30日 06:44,❤🩹,2,Ch,2025-04-30 06:44:15.466973+08:00,Wednesday,6,0,False,False
_9unwe,2025-04-29T10:12:58.000Z,,4小時,自從跟你分手後 已經沒有辦法接受其他人了,False,False,210,1,36,14,3122,17,https://www.threads.net/@_9unwe/post/DJBtX6NTAxc,2025年04月30日 06:44,,0,Ch,2025-04-30 06:44:30.225530+08:00,Wednesday,6,0,False,False
xaio._.n,2025-04-28T15:17:22.000Z,xaio._.n,23小時,每天發一篇threads直到被發現-day 1 今天比全大運好累 想睡但是有點睡不著的感覺餒 明天的比賽怎麼辦…,False,False,2,3,0,1,357,0,https://www.threads.net/@xaio._.n/post/DI_ramHzXFC,2025年04月30日 06:44,,0,Ch,2025-04-30 06:44:44.862076+08:00,Wednesday,6,0,False,False
the_sandy.h,2025-04-29T03:03:32.000Z,,11小時,買了泡泡結果我的卷直接消失😃 哈哈哈 我已經崩潰了 重刷好幾次都沒有🥲 我只是想買個泡泡而已,False,False,3,4,0,1,1344,67,https://www.threads.net/@the_sandy.h/post/DJA8Ot8yLxJ,2025年04月30日 06:45,😃🥲,2,Ch,2025-04-30 06:45:11.535709+08:00,Wednesday,6,0,False,False
mia2025799,2025-04-29T12:06:55.000Z,甜島交友日記,2小時,台灣交友軟體排行 1.甜島 2.傳說對決 3.Tiktok 4.ig 5.FB,False,False,0,0,0,0,34,2,https://www.threads.net/@mia2025799/post/DJB6ai6zmCG,2025年04月30日 06:46,,0,Ch,2025-04-30 06:46:05.689355+08:00,Wednesday,6,0,False,False
peacock_mantis,2025-04-29T11:19:57.000Z,,3小時,男人對你有分享欲不是喜歡 很多時候，我們總會把男人對你有分享欲的行為，誤認為他喜歡你。或許，他會經常主動找你聊天，分享他的心情、想法，甚至一些細微的生活瑣事，這時候你可能會覺得：“他這樣做，應該是因為他喜歡我吧？”但，這種行為並不一定是愛情的信號。讓我們來看看，這樣的行為背後，可能隱藏的兩種截然不同的原因。,False,False,160,6,4,14,12000,30,https://www.threads.net/@peacock_mantis/post/DJB1CkaA3G6,2025年04月30日 06:46,,0,Ch,2025-04-30 06:46:20.565489+08:00,Wednesday,6,1,True,False
dodo67432,2025-04-29T10:32:26.000Z,工作廢文,4小時,好老闆跟好的同事 是否都像真愛一樣難尋？！,False,False,0,0,0,0,7,0,https://www.threads.net/@dodo67432/post/DJBvmh_SpGm,2025年04月30日 06:46,,0,Ch,2025-04-30 06:46:35.259594+08:00,Wednesday,6,0,True,True
nik0229,2025-04-29T12:01:23.000Z,楊丞琳,2小時,一個「紅了就不認人」的人，還需要在Ma媽過世時發這個嗎🤡,True,False,52,0,1,12,20000,0,https://www.threads.net/@nik0229/post/DJB5x9wybBk,2025年04月30日 06:46,🤡,1,Ch,2025-04-30 06:46:50.191532+08:00,Wednesday,6,1,False,False
jenifa35k,2025-04-29T14:29:00.000Z,,17分鐘,Halal is beautiful and peaceful 🤎,False,False,5,1,0,0,337,51174,https://www.threads.net/@jenifa35k/post/DJCKrLDS5qr,2025年04月30日 06:47,🤎,1,en,2025-04-30 06:47:05.082729+08:00,Wednesday,6,0,False,False
slily0411,2025-04-29T13:03:32.000Z,,1小時,这个社交平台，都是那些国家的朋友在用？,False,False,1,2,0,0,418,1,https://www.threads.net/@slily0411/post/DJCA5JQyXoq,2025年04月30日 06:47,,0,Ch,2025-04-30 06:47:19.925952+08:00,Wednesday,6,0,True,False
kitt28775,2025-04-29T13:46:24.000Z,kitt28775,1小時,當我男友的好處是👀 1.會報備💓 2.會哄妳~~~☺️ 3.我超專一 4.會秒回~（除非在上課或在忙 5.會記得妳的生日~🫶 6.會跟異性保持距離😊 7.我超溫柔ㄉ~~ 8.不會兇妳~~~ 9.置頂一定是妳~ 我小六 （好看在來💗 都可以認識ㄛ,False,False,3,2,0,0,125,2,https://www.threads.net/@kitt28775/post/DJCFzNJBrIm,2025年04月30日 06:47,👀💓☺🫶😊💗,6,Ch,2025-04-30 06:47:43.018661+08:00,Wednesday,6,0,False,False
